"Prihodi in prenoèitve turistov po: VRSTE OBÈIN, VRSTE NASTANITVENIH"
"OBJEKTOV, DRŽAVE, LETO , MERITVE"

" ";" ";" ";" ";"Prihodi turistov - SKUPAJ";"Prenoèitve turistov - SKUPAJ"
"Zdraviliške obèine"
" ";"Hoteli"
" ";" ";"Danska"
" ";" ";" ";"2008";z;z
" ";" ";" ";"2009";z;z
" ";" ";" ";"2010";z;z
" ";" ";" ";"2011";-;-
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";-;-
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";z;z
" ";" ";" ";"2017";z;z
" ";" ";"Estonija"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";-;-
" ";" ";" ";"2011";-;-
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";1;2
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";z;z
" ";" ";" ";"2017";z;z
" ";" ";"Finska"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";z;z
" ";" ";" ";"2011";-;-
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";-;-
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";z;z
" ";" ";" ";"2017";z;z
" ";" ";"Francija"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";z;z
" ";" ";" ";"2010";z;z
" ";" ";" ";"2011";z;z
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";29;32
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";z;z
" ";" ";" ";"2017";z;z
" ";" ";"Grèija"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";-;-
" ";" ";" ";"2011";-;-
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";-;-
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";z;z
" ";" ";" ";"2017";z;z
" ";" ";"Hrvaška"
" ";" ";" ";"2008";z;z
" ";" ";" ";"2009";z;z
" ";" ";" ";"2010";z;z
" ";" ";" ";"2011";z;z
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";50;65
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";z;z
" ";" ";" ";"2017";z;z
" ";" ";"Irska"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";z;z
" ";" ";" ";"2011";-;-
" ";" ";" ";"2012";z;z
" ";" ";" ";"2013";-;-
" ";" ";" ";"2014";z;z
" ";" ";" ";"2015";z;z
" ";" ";" ";"2016";z;z
" ";" ";" ";"2017";z;z
" ";" ";"Islandija"
" ";" ";" ";"2008";-;-
" ";" ";" ";"2009";-;-
" ";" ";" ";"2010";-;-
