"Tuji turisti po: MESEC, VRSTA OBÈINE, ELEMENT TURISTIÈNE PONUDBE ,"
"OCENA ZADOVOLJSTVA"

" ";" ";" ";"Ocena - SKUPAJ";"Zelo zadovoljen";"Zadovoljen";"Srednje  zadovoljen";"Nisem zadovoljen";"Sploh nisem zadovoljen";"Ne morem oceniti"
"Glavna sezona"
" ";"Vrsta obèine - SKUPAJ"
" ";" ";"Primerno za družine";21743;7975;7662;N;-;-;N
" ";" ";"Ponudba kazinojev in igralnic";21743;N;N;3645;N;N;12207
" ";" ";"Konferenèna ponudba";21743;3635;N;N;N;N;11829
" ";" ";"Kakovost nastanitve";21743;11807;6398;N;N;-;N
" ";" ";"Cenovna ugodnost ponudbe";21743;9028;7234;N;N;-;N
" ";" ";"Sloves destinacije";21743;9444;8567;N;N;-;N
" ";"Gorske obèine"
" ";" ";"Osebna varnost";24680;14322;9072;N;-;-;N
" ";" ";"Dostopnost turistiènih informacij";24680;6916;10973;N;N;-;N
" ";" ";"Enostavnost dostopnosti destinacije";24680;9870;10799;N;N;-;N
" ";" ";"Cenovna ugodnost prevoza do destinacije";24680;N;12581;4093;N;-;4056
" ";" ";"Organizacija lokalnega prevoza";24680;4921;7582;4293;N;-;7787
" ";" ";"Splošna èistoèa destinacije";24680;11379;10357;N;-;-;N
" ";" ";"Neokrnjena narava";24680;8557;12889;N;N;-;N
" ";" ";"Podnebne razmere";24680;8357;12189;N;N;N;N
" ";" ";"Skrb za okolje";24680;7169;13420;N;-;-;N
" ";" ";"Prijaznost lokalnega prebivalstva";24680;14050;7825;N;-;-;N
" ";" ";"Raznovrstnost kulturnih/zgodovinskih zanimivosti";24680;N;13951;4952;N;-;N
" ";" ";"Ponudba kulturnih prireditev";24680;N;6015;10755;N;-;5300
" ";" ";"Ponudba športnih in rekreativnih dejavnosti";24680;N;7593;6401;N;-;6609
" ";" ";"Ponudba športnih prireditev";24680;N;4456;8388;N;-;9338
" ";" ";"Zdravstvena ponudba";24680;N;5269;3750;N;-;11639
" ";" ";"Dobropoèutna ponudba";24680;5283;8587;4250;N;-;6307
" ";" ";"Ponudba lokalne gastronomije";24680;5443;14714;N;N;-;N
" ";" ";"Možnosti za nakupovanje";24680;N;9466;5736;N;N;N
" ";" ";"Noèno življenje in zabava";24680;N;10790;5844;N;-;5788
" ";" ";"Možnosti za poèitek";24680;5146;15051;N;N;N;N
" ";" ";"Primerno za družine";24680;5698;11869;N;N;N;N
" ";" ";"Ponudba kazinojev in igralnic";24680;N;4828;3370;N;N;11123
" ";" ";"Konferenèna ponudba";24680;N;N;N;N;-;15638
" ";" ";"Kakovost nastanitve";24680;9829;11608;N;-;N;N
" ";" ";"Cenovna ugodnost ponudbe";24680;11190;10470;N;N;N;N
" ";" ";"Sloves destinacije";24680;10096;10735;N;-;-;N
" ";"Obmorske obèine"
" ";" ";"Osebna varnost";28045;10674;16692;N;-;N;N
" ";" ";"Dostopnost turistiènih informacij";28045;5579;19305;N;N;N;N
" ";" ";"Enostavnost dostopnosti destinacije";28045;5908;18040;N;N;N;N
" ";" ";"Cenovna ugodnost prevoza do destinacije";28045;3940;16135;4010;N;N;3572
" ";" ";"Organizacija lokalnega prevoza";28045;N;16111;2804;N;N;4865
" ";" ";"Splošna èistoèa destinacije";28045;9516;15539;N;N;-;N
" ";" ";"Neokrnjena narava";28045;5397;18505;3549;N;N;-
" ";" ";"Podnebne razmere";28045;4999;19079;N;N;N;-
" ";" ";"Skrb za okolje";28045;5673;17887;N;N;N;N
" ";" ";"Prijaznost lokalnega prebivalstva";28045;9888;14390;N;N;N;N
" ";" ";"Raznovrstnost kulturnih/zgodovinskih zanimivosti";28045;N;17162;5441;N;N;2369
" ";" ";"Ponudba kulturnih prireditev";28045;N;15987;6316;N;N;3067
" ";" ";"Ponudba športnih in rekreativnih dejavnosti";28045;N;15850;5406;-;N;3961
" ";" ";"Ponudba športnih prireditev";28045;N;15670;4082;-;N;5489
" ";" ";"Zdravstvena ponudba";28045;N;13819;4020;N;N;7566
" ";" ";"Dobropoèutna ponudba";28045;5543;14014;3495;N;N;4430
" ";" ";"Ponudba lokalne gastronomije";28045;6720;15605;3087;N;N;N
" ";" ";"Možnosti za nakupovanje";28045;N;12839;6767;N;N;2907
" ";" ";"Noèno življenje in zabava";28045;N;13694;5468;N;N;5179
" ";" ";"Možnosti za poèitek";28045;5515;17485;3732;N;N;N
" ";" ";"Primerno za družine";28045;4025;15228;4717;N;N;N
" ";" ";"Ponudba kazinojev in igralnic";28045;4172;11383;N;N;N;9221
" ";" ";"Konferenèna ponudba";28045;N;10071;N;N;N;12165
" ";" ";"Kakovost nastanitve";28045;7852;15786;N;N;N;N
" ";" ";"Cenovna ugodnost ponudbe";28045;6565;17403;N;N;N;-
" ";" ";"Sloves destinacije";28045;8314;15419;N;N;N;N
" ";"Ljubljana"
" ";" ";"Osebna varnost";35972;21420;12819;N;N;-;N
" ";" ";"Dostopnost turistiènih informacij";35972;16887;14114;2651;N;-;N
" ";" ";"Enostavnost dostopnosti destinacije";35972;16064;15825;3058;N;-;N
" ";" ";"Cenovna ugodnost prevoza do destinacije";35972;8991;15248;8420;N;-;3137
" ";" ";"Organizacija lokalnega prevoza";35972;10698;11234;6405;N;-;6658
" ";" ";"Splošna èistoèa destinacije";35972;17184;14780;N;N;N;N
" ";" ";"Neokrnjena narava";35972;16868;12154;3700;N;-;3007
" ";" ";"Podnebne razmere";35972;12473;16392;5238;N;-;N
" ";" ";"Skrb za okolje";35972;14700;14883;3415;N;-;2773
" ";" ";"Prijaznost lokalnega prebivalstva";35972;15349;16562;N;-;-;N
" ";" ";"Raznovrstnost kulturnih/zgodovinskih zanimivosti";35972;14294;14578;4132;-;-;2968
" ";" ";"Ponudba kulturnih prireditev";35972;6303;13898;5952;N;-;9440
" ";" ";"Ponudba športnih in rekreativnih dejavnosti";35972;3490;8306;8062;N;-;15529
" ";" ";"Ponudba športnih prireditev";35972;N;6147;7869;N;-;18140
" ";" ";"Zdravstvena ponudba";35972;N;5934;2356;N;N;23595
" ";" ";"Dobropoèutna ponudba";35972;N;7475;3259;N;N;20438
" ";" ";"Ponudba lokalne gastronomije";35972;12032;17229;3838;N;-;N
" ";" ";"Možnosti za nakupovanje";35972;9230;14263;5207;N;N;6049
" ";" ";"Noèno življenje in zabava";35972;N;10100;4881;N;-;17248
" ";" ";"Možnosti za poèitek";35972;8542;17256;3831;N;N;5324
" ";" ";"Primerno za družine";35972;9361;10134;5040;-;N;11367
" ";" ";"Ponudba kazinojev in igralnic";35972;N;3572;N;N;N;27900
" ";" ";"Konferenèna ponudba";35972;2722;6435;N;N;N;23483
" ";" ";"Kakovost nastanitve";35972;14113;16983;3272;N;N;N
" ";" ";"Cenovna ugodnost ponudbe";35972;8220;20687;5079;N;N;N
" ";" ";"Sloves destinacije";35972;13328;17960;N;N;-;N
" ";"Mestne obèine in druge obèin"
" ";" ";"Osebna varnost";31275;14001;14378;N;-;-;N
